segment;slug;nombre_visible;rubro;subtipo;obra_product_kind;filtro_unidad;unidades_min;unidades_max;m2_min;m2_max;complejidad;plantas;ambientes_min;ambientes_max;plantas_edificio;deptos_por_piso;pb_comercial;subsuelo_cocheras;amenities;urgencia;reforma_ambiente;tags;tareas;duracion_guia;notas_revision
trabajo_comun;cielorraso_durlock;Colocar cielorraso Durlock;drywall;cielorraso;trabajo_simple;m2;;;10;250;baja | media;;;;;;;;;;;durlock | cielorraso;Relevamiento | Presupuesto | Compra de materiales | Trazado y perfiles | Montaje de placas | Masillado y terminación | Evidencia | Validación | Pago;;
trabajo_comun;tabique_durlock;Tabique Durlock;drywall;tabique;trabajo_simple;m2;;;8;180;baja | media;;;;;;;;;;;durlock | tabique;Relevamiento | Presupuesto | Compra de materiales | Trazado | Montaje de estructura | Colocación de placas | Masillado | Evidencia | Validación | Pago;;
trabajo_comun;reparacion_humedad;Reparación de humedad;impermeabilizacion;humedad;trabajo_simple;m2;;;3;80;media | alta;;;;;;;;;;;humedad | filtracion;Relevamiento | Diagnóstico de origen | Presupuesto | Compra de materiales | Apertura y secado | Tratamiento | Cierre y terminación | Evidencia | Validación | Pago;;
trabajo_comun;impermeabilizacion_techo_terraza;Impermeabilización de techo o terraza;impermeabilizacion;techo_terraza;trabajo_simple;m2;;;10;300;media | alta;;;;;;;;;;;impermeabilizacion | terraza | techo;Relevamiento | Presupuesto | Compra de materiales | Limpieza y preparación | Impermeabilización | Prueba de agua | Protección final | Evidencia | Validación | Pago;m2 + complejidad;
trabajo_comun;colocar_membrana;Colocar membrana;impermeabilizacion;membrana;trabajo_simple;m2;;;5;150;baja | media;;;;;;;;;;;membrana | impermeabilizacion;Relevamiento | Presupuesto | Compra de materiales | Preparación de superficie | Colocación de membrana | Detalles y remates | Evidencia | Validación | Pago;;
trabajo_comun;reparacion_cubierta;Reparación de cubierta;cubierta;reparacion;trabajo_simple;m2;;;15;400;media | alta;;;;;;;;;;;cubierta | techo;Relevamiento | Presupuesto | Compra de materiales | Acceso y seguridad | Reparación de estructura liviana | Cambio de chapas o tejas | Evidencia | Validación | Pago;;
trabajo_comun;contrapiso;Contrapiso;estructura_liviana;contrapiso;trabajo_simple;m2;;;10;200;media;;;;;;;;;;;contrapiso | hormigon;Relevamiento | Presupuesto | Compra de materiales | Preparación de base | Armado y nivelación | Fraguado y curado | Evidencia | Validación | Pago;;
trabajo_comun;carpeta;Carpeta;estructura_liviana;carpeta;trabajo_simple;m2;;;10;200;baja | media;;;;;;;;;;;carpeta | nivelacion;Relevamiento | Presupuesto | Compra de materiales | Preparación | Colocación de carpeta | Fraguado | Evidencia | Validación | Pago;;
trabajo_comun;muro_ladrillo;Muro de ladrillo;mamposteria;muro;trabajo_simple;m2;;;5;120;baja | media;;;;;;;;;;;muro | ladrillo;Relevamiento | Presupuesto | Compra de materiales | Trazado | Levantamiento de muro | Revoque de base | Evidencia | Validación | Pago;;
trabajo_comun;losa_chica_ampliacion;Losa chica o ampliación;estructura;losa_ampliacion;trabajo_simple;m2;;;8;80;alta;;;;;;;;;;;losa | ampliacion | hormigon;Relevamiento | Presupuesto | Compra de materiales | Apuntalamiento | Armadura y encofrado | Hormigonado | Desencofrado | Evidencia | Validación | Pago;;
trabajo_comun;platea_fundacion_simple;Platea o fundación simple;estructura;fundacion;trabajo_simple;m2;;;15;150;media | alta;;;;;;;;;;;fundacion | platea;Relevamiento | Presupuesto | Compra de materiales | Movimiento de suelo | Armadura | Hormigonado | Curado | Evidencia | Validación | Pago;;
trabajo_comun;limpieza_final_obra;Limpieza final de obra;limpieza;final;trabajo_simple;m2;;;30;800;baja;;;;;;;;;;;limpieza | entrega;Relevamiento | Presupuesto | Coordinación de acceso | Limpieza gruesa | Limpieza fina | Retiro de residuos | Evidencia | Validación | Pago;;
trabajo_comun;colocar_artefactos_sanitarios;Colocar artefactos sanitarios;sanitarios;artefactos;trabajo_simple;unidades;1;20;;;baja;;;;;;;;;;;sanitarios | baño;Relevamiento | Presupuesto | Compra de artefactos | Preparación de conexiones | Colocación | Sellado y prueba | Evidencia | Validación | Pago;;
trabajo_comun;colocar_griferia;Colocar grifería;sanitarios;griferia;trabajo_simple;unidades;1;25;;;baja;;;;;;;;;;;griferia | baño | cocina;Relevamiento | Presupuesto | Compra de grifería | Preparación | Colocación | Prueba de funcionamiento | Evidencia | Validación | Pago;;
trabajo_comun;colocar_muebles_cocina;Colocar muebles de cocina;cocina;muebles;trabajo_simple;unidades;1;3;;;media;;;;;;;;;;;cocina | muebles;Relevamiento | Presupuesto | Compra y acopio | Nivelación de módulos | Fijación y calado | Conexión de artefactos | Ajustes | Evidencia | Validación | Pago;;
trabajo_comun;instalacion_aire_acondicionado;Instalación de aire acondicionado;climatizacion;split;trabajo_simple;unidades;1;8;;;baja | media;;;;;;;;;;;aire | split | clima;Relevamiento | Presupuesto | Compra de equipos | Preparación de ruteo | Montaje de unidades | Vacío y puesta en marcha | Evidencia | Validación | Pago;;
